metric,deepseek_r1_avg,mistral_7b_avg,difference,ratio,unit
Inference Time,8.29,2.08,6.21,3.98x,s
Average CPU Usage,5.89,9.02,-3.13,0.65x,%
Peak CPU Usage,18.27,23.69,-5.42,0.77x,%
Average GPU Usage,0.00,0.00,0.00,0.00x,%
Peak GPU Usage,0.00,0.00,0.00,0.00x,%
Average Memory Usage,61963.67,64379.38,-2415.71,0.96x,MB
Peak Memory Usage,62089.35,65143.19,-3053.84,0.95x,MB
Ollama Process CPU Avg,0.85,0.54,0.31,1.58x,%
Ollama Process CPU Peak,1.43,1.09,0.34,1.32x,%
Ollama Memory Avg,141.97,142.12,-0.15,1.00x,MB
Ollama Memory Peak,142.00,142.13,-0.13,1.00x,MB
Total Response Length,37863,5934,31929,6.38x,chars
